date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,turnover
2023-01-03,002027,5.48,5.58,5.73,5.43,1451402,991310565.82,5.5,2.39,0.13,1.0
2023-01-04,002027,5.62,5.69,5.79,5.51,1345199,931352949.4,5.02,1.97,0.11,0.93
2023-01-05,002027,5.73,6.16,6.21,5.69,2104860,1538033966.45,9.14,8.26,0.47,1.46
2023-01-06,002027,6.18,5.65,6.23,5.58,2839420,1993682150.17,10.55,-8.28,-0.51,1.97
2023-01-09,002027,5.66,5.84,5.91,5.64,1193211,841180509.13,4.78,3.36,0.19,0.83
2023-01-10,002027,5.84,5.8,5.89,5.7,892427,625741052.06,3.25,-0.68,-0.04,0.62
2023-01-11,002027,5.91,5.67,5.91,5.64,1131556,771538048.78,4.66,-2.24,-0.13,0.78
2023-01-12,002027,5.71,5.7,5.75,5.56,678004,458637668.97,3.35,0.53,0.03,0.47
2023-01-13,002027,5.74,5.93,5.93,5.68,948030,656141984.14,4.39,4.04,0.23,0.66
2023-01-16,002027,5.97,5.98,6.05,5.79,1066024,748976068.98,4.38,0.84,0.05,0.74
2023-01-17,002027,6.01,5.79,6.01,5.69,1128524,774708095.61,5.35,-3.18,-0.19,0.78
2023-01-18,002027,5.78,5.71,5.84,5.68,705692,480954069.77,2.76,-1.38,-0.08,0.49
2023-01-19,002027,5.69,5.91,5.92,5.61,1009920,697008167.36,5.43,3.5,0.2,0.7
2023-01-20,002027,5.9,5.91,5.96,5.83,684953,478164480.91,2.2,0.0,0.0,0.47
2023-01-30,002027,6.06,5.83,6.18,5.78,1273650,889334418.5,6.77,-1.35,-0.08,0.88
2023-01-31,002027,5.84,5.86,5.91,5.79,934059,648496122.94,2.06,0.51,0.03,0.65
2023-02-01,002027,5.88,5.71,5.88,5.6,1574321,1065315827.88,4.78,-2.56,-0.15,1.09
2023-02-02,002027,5.71,5.74,5.84,5.65,812819,556514604.08,3.33,0.53,0.03,0.56
2023-02-03,002027,5.75,5.69,5.78,5.62,662354,448582842.86,2.79,-0.87,-0.05,0.46
2023-02-06,002027,5.61,5.56,5.69,5.43,935717,622603457.73,4.57,-2.28,-0.13,0.65
2023-02-07,002027,5.65,5.49,5.66,5.45,1087538,716379900.47,3.78,-1.26,-0.07,0.75
2023-02-08,002027,5.54,5.48,5.63,5.46,520086,343775361.45,3.1,-0.18,-0.01,0.36
2023-02-09,002027,5.49,5.66,5.67,5.45,704199,471210726.56,4.01,3.28,0.18,0.49
2023-02-10,002027,5.65,5.71,5.8,5.61,696588,474239268.51,3.36,0.88,0.05,0.48
2023-02-13,002027,5.69,5.82,5.91,5.62,1578836,1091886807.93,5.08,1.93,0.11,1.09
2023-02-14,002027,5.83,5.74,5.85,5.69,826686,565764620.88,2.75,-1.37,-0.08,0.57
2023-02-15,002027,5.77,5.72,5.78,5.67,547653,372830867.0,1.92,-0.35,-0.02,0.38
2023-02-16,002027,5.72,5.69,5.9,5.65,1040517,716940309.27,4.37,-0.52,-0.03,0.72
2023-02-17,002027,5.69,5.55,5.76,5.53,869058,583066134.7,4.04,-2.46,-0.14,0.6
2023-02-20,002027,5.56,5.74,5.74,5.51,1199542,806761584.72,4.14,3.42,0.19,0.83
2023-02-21,002027,5.75,5.6,5.76,5.51,1057489,708187535.23,4.36,-2.44,-0.14,0.73
2023-02-22,002027,5.55,5.45,5.58,5.42,1031239,677486246.82,2.86,-2.68,-0.15,0.71
2023-02-23,002027,5.42,5.36,5.47,5.34,877855,568621512.79,2.39,-1.65,-0.09,0.61
2023-02-24,002027,5.37,5.29,5.41,5.21,1316611,838430172.29,3.73,-1.31,-0.07,0.91
2023-02-27,002027,5.27,5.25,5.31,5.2,614503,389513719.42,2.08,-0.76,-0.04,0.43
2023-02-28,002027,5.3,5.45,5.56,5.26,1350837,882592152.51,5.71,3.81,0.2,0.94
2023-03-01,002027,5.5,5.65,5.66,5.46,1017356,680101284.71,3.67,3.67,0.2,0.7
2023-03-02,002027,5.64,5.68,5.68,5.59,678827,457179648.53,1.59,0.53,0.03,0.47
2023-03-03,002027,5.69,5.63,5.8,5.57,759319,512142135.56,4.05,-0.88,-0.05,0.53
2023-03-06,002027,5.64,5.37,5.66,5.34,1358957,888150603.65,5.68,-4.62,-0.26,0.94
2023-03-07,002027,5.4,5.29,5.43,5.29,771758,497205712.75,2.61,-1.49,-0.08,0.53
2023-03-08,002027,5.29,5.3,5.32,5.19,765682,485443991.54,2.46,0.19,0.01,0.53
2023-03-09,002027,5.3,5.3,5.36,5.24,535258,342267136.42,2.26,0.0,0.0,0.37
2023-03-10,002027,5.24,5.23,5.35,5.21,758898,482393876.83,2.64,-1.32,-0.07,0.53
2023-03-13,002027,5.25,5.39,5.45,5.24,718839,464052868.21,4.02,3.06,0.16,0.5
2023-03-14,002027,5.4,5.3,5.43,5.3,640292,412450205.16,2.41,-1.67,-0.09,0.44
2023-03-15,002027,5.37,5.44,5.55,5.32,1035563,678672107.39,4.34,2.64,0.14,0.72
2023-03-16,002027,5.41,5.33,5.48,5.32,780015,505055308.98,2.94,-2.02,-0.11,0.54
2023-03-17,002027,5.41,5.53,5.62,5.38,1494985,991637658.21,4.5,3.75,0.2,1.04
2023-03-20,002027,5.86,5.42,5.9,5.38,2447294,1650377448.16,9.4,-1.99,-0.11,1.69
2023-03-21,002027,5.46,5.55,5.65,5.42,1304690,863282507.65,4.24,2.4,0.13,0.9
2023-03-22,002027,5.61,5.65,5.72,5.52,1509887,1014650810.61,3.6,1.8,0.1,1.05
2023-03-23,002027,5.65,5.58,5.68,5.53,1206763,805286522.5,2.65,-1.24,-0.07,0.84
2023-03-24,002027,5.59,5.56,5.69,5.5,1111891,741326350.79,3.41,-0.36,-0.02,0.77
